,title,company,salary,summary,location,link
13,newFull Stack Developer – Blockchain,Vector Recruitment Limited,"£40,000 - £60,000 a year",Youll be designing and building features that will enable a new generation of customers to engage with media in a novel way.,London•Remote,https://uk.indeed.com/rc/clk?jk=5f17ff6d25c09d8c&fccid=71e95318118dad97&vjs=3
14,newGames Developer Blockchain Unity C#,Client Server,"£30,000 - £40,000 a year",Well-funded start-up is seeking a talented Games Developer to join their close-knit team where you'll be responsible for designing and developing high quality…,London,https://uk.indeed.com/rc/clk?jk=a5d821ad444dcd48&fccid=892c145157842ceb&vjs=3
15,Senior Frontend Developer,Citi,,"As a senior developer you will set the example for others to follow; you will mentor colleague on patterns, best practices and techniques.",London,https://uk.indeed.com/rc/clk?jk=e330eccd81fc94ea&fccid=5bcd1ef0a7f4fb99&vjs=3
16,Full Stack Developer,Nuggets,,"Working alongside our other engineers and developers, you’ll be responsible for the technical architecture, product development cycle, which includes support…",London•Remote,https://uk.indeed.com/rc/clk?jk=e7fbeba80a0b5993&fccid=fb6518f331b492a2&vjs=3
17,newC++ Developer / Engineer Blockchain - FinTech,Client Server,"£85,000 - £100,000 a year","You have an interest in Web3, crypto / blockchain technology.
As a C++ Developer you will design and develop new features and enhancements for the core platform…",London,https://uk.indeed.com/rc/clk?jk=3fa95878c18a0597&fccid=892c145157842ceb&vjs=3
18,8 x Blockchain Developers | Golang / Rust | 100% Remote,Trust In Soda,£500 - £640 a day,"Research and spec out ideas for innovative blockchain applications.
Experience developing, deploying and maintaining blockchain nodes huge plus!",London•Remote,https://uk.indeed.com/rc/clk?jk=3c2c3312c5f5987c&fccid=3ae767ecf847a5c1&vjs=3
19,Senior Quality Engineer - (Blockchain),The Workshop,,"Collaborate with developers, analysts, and managers to improve the quality of the delivery both in terms of functional and non-functional requirements.",London W1F 7TF,https://uk.indeed.com/rc/clk?jk=59abee6e0532a497&fccid=8bedc9fab85623ce&vjs=3
20,Salesforce Developer,IBM,,"Proficient with the Salesforce developer user interface and programming IDEs such as Visual Studio.
IBM has embarked on a major internal sales transformation…",London,https://uk.indeed.com/rc/clk?jk=f1763f15d34cb9f4&fccid=de71a49b535e21cb&vjs=3
21,Build Blockchain Products in Scala,Linux Recruit,"£45,000 - £85,000 a year",Scala and Functional Programmers - Here is a chance to join one of the most exciting Blockchain startups in Central London. You will work on building real…,London,https://uk.indeed.com/rc/clk?jk=c4109d5c2f9ad3b5&fccid=c7414b794cb89c1c&vjs=3
22,DEVELOPER,United Vanning,,Creating solution proposals and new architectures that will evolve or transform our clients’ IT landscapes and deliver true business value.,Staines-upon-Thames,https://uk.indeed.com/rc/clk?jk=7e495fb368e6d5ef&fccid=e5fdf6e4929f34fd&vjs=3
